,lat,long,tipo
211,-34.5908630290218,-58.4061623653093,bicicleta
212,-34.6060764961487,-58.4224614612369,bicicleta
213,-34.6275365630589,-58.36571682173,bicicleta
214,-34.6134498597511,-58.4233949534181,bicicleta
215,-34.6222611969432,-58.4160115052234,bicicleta
216,-34.5883285824775,-58.403865450383,bicicleta
217,-34.5837493428954,-58.3905984584925,bicicleta
218,-34.6287585370652,-58.3562543312869,bicicleta
219,-34.6149488722851,-58.427816250575,bicicleta
220,-34.5833231502835,-58.4280140323528,bicicleta
221,-34.584950141684,-58.4373374369099,bicicleta
222,-34.5851382266202,-58.4208687442152,bicicleta
223,-34.5721649779639,-58.4112752471874,bicicleta
224,-34.6002755030642,-58.4348734428931,bicicleta
225,-34.5996594507231,-58.4426837676874,bicicleta
226,-34.5905413100845,-58.4289721244116,bicicleta
227,-34.5858782232926,-58.424993923364,bicicleta
228,-34.5899683825807,-58.411490383491,bicicleta
229,-34.6351293340117,-58.4275713849998,bicicleta
230,-34.5725829417623,-58.4206256441755,bicicleta
231,-34.6234010796576,-58.4248511861528,bicicleta
232,-34.6104567454706,-58.4327844278272,bicicleta
233,-34.5815759952173,-58.4515290107423,bicicleta
234,-34.6051095592246,-58.4458959421918,bicicleta
235,-34.5737946433224,-58.4870744524175,bicicleta
236,-34.5621605352259,-58.455165024712,bicicleta
237,-34.5652027732943,-58.4207045947455,bicicleta
238,-34.5771601311645,-58.4032109430291,bicicleta
239,-34.5838956745866,-58.4664936579452,bicicleta
240,-34.5735216982903,-58.4746349264237,bicicleta
241,-34.6471228683411,-58.3743322250401,bicicleta
242,-34.6207179362781,-58.4416058733794,bicicleta
243,-34.6220929335813,-58.4485461758828,bicicleta
244,-34.570824604418,-58.4812361851259,bicicleta
245,-34.5655206108981,-58.4553330558778,bicicleta
246,-34.6161518371301,-58.4405827974639,bicicleta
247,-34.6097605592715,-58.4674768852983,bicicleta
248,-34.6220038872984,-58.4575545550579,bicicleta
249,-34.5500141539404,-58.4765208370492,bicicleta
250,-34.5773288677031,-58.4577982444269,bicicleta
251,-34.6301089921114,-58.4738443002142,bicicleta
252,-34.6167588207107,-58.4467500618373,bicicleta
253,-34.5623955210361,-58.4591471941392,bicicleta
254,-34.5635386599873,-58.4361132320095,bicicleta
255,-34.5641215079603,-58.46981265578,bicicleta
256,-34.633529190471,-58.4493782931679,bicicleta
257,-34.6137786959411,-58.4583145279611,bicicleta
258,-34.6310192034927,-58.4350546710935,bicicleta
259,-34.5598005151061,-58.4483127191579,bicicleta
260,-34.6172481506435,-58.3816233191895,bicicleta
261,-34.6317060664531,-58.4661429869904,bicicleta
262,-34.6518481736553,-58.4157690071187,bicicleta
263,-34.5676327500899,-58.436750288151,bicicleta
264,-34.6055675324672,-58.453474264924,bicicleta
265,-34.6039364764095,-58.4573164151576,bicicleta
266,-34.5513032929413,-58.4541799054169,bicicleta
